wind(m/s),    lat,     lon
  -99.00,   24.32,  284.99
  -99.00,   24.32,  285.02
  -99.00,   24.31,  285.06
  -99.00,   24.31,  285.10
  -99.00,   24.30,  285.14
  -99.00,   24.30,  285.18
  -99.00,   24.29,  285.21
  -99.00,   24.29,  285.25
  -99.00,   24.28,  285.29
  -99.00,   24.28,  285.33
  -99.00,   24.27,  285.37
  -99.00,   24.27,  285.40
  -99.00,   24.26,  285.44
  -99.00,   24.26,  285.48
  -99.00,   24.25,  285.52
  -99.00,   24.25,  285.56
  -99.00,   24.24,  285.59
  -99.00,   24.24,  285.63
  -99.00,   24.23,  285.67
  -99.00,   24.23,  285.71
  -99.00,   24.22,  285.75
  -99.00,   24.22,  285.78
  -99.00,   24.21,  285.82
  -99.00,   24.21,  285.86
  -99.00,   24.20,  285.90
  -99.00,   24.20,  285.93
  -99.00,   24.19,  285.97
  -99.00,   24.19,  286.01
  -99.00,   24.18,  286.05
  -99.00,   24.18,  286.09
  -99.00,   24.17,  286.12
  -99.00,   24.17,  286.16
  -99.00,   24.16,  286.20
  -99.00,   24.16,  286.24
  -99.00,   24.15,  286.28
  -99.00,   24.14,  286.31
  -99.00,   24.14,  286.35
  -99.00,   24.13,  286.39
  -99.00,   24.13,  286.43
  -99.00,   24.12,  286.46
  -99.00,   24.99,  270.77
  -99.00,   24.99,  270.81
  -99.00,   24.99,  270.84
  -99.00,   24.99,  270.88
  -99.00,   24.99,  270.92
  -99.00,   24.99,  270.96
  -99.00,   24.99,  271.00
  -99.00,   24.99,  271.04
  -99.00,   25.00,  271.08
  -99.00,   25.00,  271.11
  -99.00,   25.00,  271.15
  -99.00,   25.00,  271.19
  -99.00,   25.00,  271.23
  -99.00,   25.00,  271.27
  -99.00,   25.00,  271.31
  -99.00,   25.00,  271.35
  -99.00,   25.01,  271.39
  -99.00,   25.01,  271.42
  -99.00,   25.01,  271.46
  -99.00,   25.01,  271.50
  -99.00,   25.01,  271.54
  -99.00,   25.01,  271.58
  -99.00,   25.01,  271.62
  -99.00,   25.01,  271.66
  -99.00,   25.01,  271.70
  -99.00,   25.02,  271.73
  -99.00,   25.02,  271.77
  -99.00,   25.02,  271.81
  -99.00,   25.02,  271.85
  -99.00,   25.02,  271.89
  -99.00,   25.02,  271.93
  -99.00,   25.02,  271.97
  -99.00,   25.02,  272.01
  -99.00,   25.02,  272.04
  -99.00,   25.02,  272.08
  -99.00,   25.02,  272.12
  -99.00,   25.03,  272.16
  -99.00,   25.03,  272.20
  -99.00,   25.03,  272.24
  -99.00,   25.03,  272.28
  -99.00,   25.03,  272.31
  -99.00,   25.03,  272.35
  -99.00,   25.03,  272.39
  -99.00,   25.03,  272.43
  -99.00,   25.03,  272.47
  -99.00,   25.03,  272.51
  -99.00,   25.03,  272.55
  -99.00,   25.03,  272.59
  -99.00,   25.03,  272.62
  -99.00,   25.03,  272.66
  -99.00,   25.03,  272.70
    9.05,   25.04,  272.74
    9.15,   25.04,  272.78
    9.22,   25.04,  272.82
    9.29,   25.04,  272.86
    9.43,   25.04,  272.90
    9.53,   25.04,  272.93
    9.61,   25.04,  272.97
    9.68,   25.04,  273.01
    9.76,   25.04,  273.05
    9.83,   25.04,  273.09
    9.91,   25.04,  273.13
    9.98,   25.04,  273.17
   10.06,   25.04,  273.21
   10.13,   25.04,  273.24
   10.21,   25.04,  273.28
   10.29,   25.04,  273.32
   10.36,   25.04,  273.36
   10.44,   25.04,  273.40
   10.52,   25.04,  273.44
   10.60,   25.04,  273.48
   10.67,   25.04,  273.52
   10.75,   25.04,  273.55
   10.83,   25.04,  273.59
   10.92,   25.04,  273.63
   11.01,   25.04,  273.67
   11.10,   25.04,  273.71
   11.19,   25.04,  273.75
   11.27,   25.04,  273.79
   11.36,   25.04,  273.83
   11.45,   25.04,  273.86
   11.54,   25.04,  273.90
   11.62,   25.04,  273.94
   11.71,   25.04,  273.98
   11.80,   25.04,  274.02
   11.89,   25.04,  274.06
   11.97,   25.04,  274.10
   12.06,   25.04,  274.14
   12.15,   25.04,  274.17
   12.24,   25.04,  274.21
   12.33,   25.04,  274.25
   12.41,   25.04,  274.29
   12.50,   25.04,  274.33
   12.59,   25.04,  274.37
   12.67,   25.04,  274.41
   12.76,   25.04,  274.45
   12.85,   25.04,  274.48
   12.93,   25.04,  274.52
   13.02,   25.04,  274.56
   13.10,   25.04,  274.60
   13.19,   25.04,  274.64
   13.27,   25.04,  274.68
   13.36,   25.04,  274.72
   13.44,   25.04,  274.76
   13.53,   25.04,  274.79
   13.61,   25.04,  274.83
   13.70,   25.04,  274.87
   13.78,   25.04,  274.91
   13.87,   25.04,  274.95
   13.96,   25.04,  274.99
   14.05,   25.04,  275.03
   14.13,   25.04,  275.07
   14.22,   25.04,  275.10
   14.30,   25.04,  275.14
   14.39,   25.04,  275.18
   14.47,   25.04,  275.22
   14.56,   25.04,  275.26
   14.64,   25.03,  275.30
   14.72,   25.03,  275.34
   14.80,   25.03,  275.38
   14.88,   25.03,  275.41
   14.97,   25.03,  275.45
   15.05,   25.03,  275.49
   15.13,   25.03,  275.53
   15.21,   25.03,  275.57
   15.29,   25.03,  275.61
   15.37,   25.03,  275.65
   15.45,   25.03,  275.69
   15.52,   25.03,  275.72
   15.60,   25.03,  275.76
   15.68,   25.03,  275.80
   15.75,   25.03,  275.84
   15.83,   25.02,  275.88
   15.91,   25.02,  275.92
   15.98,   25.02,  275.96
   16.05,   25.02,  275.99
   16.13,   25.02,  276.03
   16.20,   25.02,  276.07
   16.27,   25.02,  276.11
   16.34,   25.02,  276.15
   16.41,   25.02,  276.19
   16.47,   25.02,  276.23
   16.54,   25.02,  276.27
   16.61,   25.01,  276.30
   16.67,   25.01,  276.34
   16.73,   25.01,  276.38
   16.79,   25.01,  276.42
   16.85,   25.01,  276.46
   16.91,   25.01,  276.50
   16.97,   25.01,  276.54
   17.04,   25.01,  276.58
   17.10,   25.01,  276.61
   17.16,   25.00,  276.65
   17.21,   25.00,  276.69
   17.27,   25.00,  276.73
   17.32,   25.00,  276.77
   17.38,   25.00,  276.81
   17.43,   25.00,  276.85
   17.48,   25.00,  276.89
   17.53,   25.00,  276.92
   17.58,   24.99,  276.96
   17.62,   24.99,  277.00
   17.67,   24.99,  277.04
   17.71,   24.99,  277.08
   17.75,   24.99,  277.12
   17.79,   24.99,  277.16
   17.83,   24.99,  277.19
   17.87,   24.99,  277.23
   17.90,   24.98,  277.27
   17.93,   24.98,  277.31
   17.96,   24.98,  277.35
   17.99,   24.98,  277.39
   18.02,   24.98,  277.43
   18.05,   24.98,  277.47
   18.07,   24.97,  277.50
   18.09,   24.97,  277.54
   18.11,   24.97,  277.58
   18.13,   24.97,  277.62
   18.14,   24.97,  277.66
   18.15,   24.97,  277.70
   18.16,   24.97,  277.74
   18.17,   24.96,  277.77
   18.18,   24.96,  277.81
   18.18,   24.96,  277.85
   18.19,   24.96,  277.89
   18.19,   24.96,  277.93
   18.19,   24.96,  277.97
   18.19,   24.95,  278.01
   18.18,   24.95,  278.05
   18.17,   24.95,  278.08
   18.16,   24.95,  278.12
   18.15,   24.95,  278.16
   18.13,   24.94,  278.20
   18.10,   24.94,  278.24
   18.07,   24.94,  278.28
   18.04,   24.94,  278.32
   18.02,   24.94,  278.35
   18.02,   24.94,  278.39
   18.02,   24.93,  278.43
   18.02,   24.93,  278.47
   18.00,   24.93,  278.51
   17.97,   24.93,  278.55
   17.91,   24.93,  278.59
   17.80,   24.92,  278.62
   17.71,   24.92,  278.66
   17.70,   24.92,  278.70
   17.71,   24.92,  278.74
   17.70,   24.92,  278.78
   17.67,   24.91,  278.82
   17.63,   24.91,  278.86
   17.60,   24.91,  278.89
   17.56,   24.91,  278.93
   17.51,   24.90,  278.97
   17.47,   24.90,  279.01
   17.41,   24.90,  279.05
   17.33,   24.90,  279.09
   17.27,   24.90,  279.13
   17.24,   24.89,  279.16
   17.29,   24.89,  279.20
   17.62,   24.89,  279.24
   17.73,   24.89,  279.28
   17.67,   24.88,  279.32
   17.44,   24.88,  279.36
   17.15,   24.88,  279.40
   16.68,   24.88,  279.43
   16.62,   24.87,  279.47
   16.54,   24.87,  279.51
   16.47,   24.87,  279.55
   16.39,   24.87,  279.59
   16.32,   24.86,  279.63
   16.24,   24.86,  279.67
   16.16,   24.86,  279.70
   16.13,   24.86,  279.74
   16.26,   24.85,  279.78
   16.38,   24.85,  279.82
   16.50,   24.85,  279.86
   16.62,   24.85,  279.90
   16.73,   24.84,  279.94
   16.84,   24.84,  279.97
   16.94,   24.84,  280.01
   17.04,   24.84,  280.05
   17.14,   24.83,  280.09
   17.23,   24.83,  280.13
   17.32,   24.83,  280.17
   17.40,   24.83,  280.21
   17.48,   24.82,  280.24
   17.55,   24.82,  280.28
   17.62,   24.82,  280.32
   17.68,   24.82,  280.36
   17.73,   24.81,  280.40
   17.79,   24.81,  280.44
   17.83,   24.81,  280.48
   17.87,   24.80,  280.51
   17.90,   24.80,  280.55
   17.93,   24.80,  280.59
   17.95,   24.80,  280.63
   17.96,   24.79,  280.67
   17.97,   24.79,  280.71
   17.97,   24.79,  280.74
   17.96,   24.78,  280.78
   17.95,   24.78,  280.82
   17.94,   24.78,  280.86
   17.92,   24.77,  280.90
   17.89,   24.77,  280.94
   17.86,   24.77,  280.98
   17.82,   24.77,  281.01
   17.78,   24.76,  281.05
   17.73,   24.76,  281.09
   17.68,   24.76,  281.13
   17.62,   24.75,  281.17
   17.56,   24.75,  281.21
   17.49,   24.75,  281.24
   17.42,   24.74,  281.28
   17.35,   24.74,  281.32
   17.27,   24.74,  281.36
   17.19,   24.73,  281.40
   17.11,   24.73,  281.44
   17.01,   24.73,  281.47
   16.99,   24.72,  281.51
   17.01,   24.72,  281.55
   16.97,   24.72,  281.59
   17.70,   24.71,  281.63
   17.78,   24.71,  281.67
   16.42,   24.71,  281.71
   16.95,   24.70,  281.74
   17.37,   24.70,  281.78
   17.08,   24.70,  281.82
   13.96,   24.69,  281.86
   12.91,   24.69,  281.90
   11.83,   24.69,  281.94
    9.80,   24.68,  281.97
   11.27,   24.68,  282.01
   13.44,   24.68,  282.05
   14.46,   24.67,  282.09
   14.65,   24.67,  282.13
   11.48,   24.67,  282.17
   12.81,   24.66,  282.20
   14.04,   24.66,  282.24
   14.04,   24.66,  282.28
   13.98,   24.65,  282.32
   13.99,   24.65,  282.36
   13.92,   24.64,  282.40
   13.76,   24.64,  282.43
   13.59,   24.64,  282.47
   13.44,   24.63,  282.51
   13.28,   24.63,  282.55
   13.12,   24.63,  282.59
   12.96,   24.62,  282.63
   12.80,   24.62,  282.66
   12.64,   24.61,  282.70
   12.48,   24.61,  282.74
   12.32,   24.61,  282.78
   12.16,   24.60,  282.82
   12.00,   24.60,  282.86
   11.85,   24.60,  282.89
   11.69,   24.59,  282.93
   11.53,   24.59,  282.97
   11.37,   24.58,  283.01
   11.21,   24.58,  283.05
   11.05,   24.58,  283.08
   10.90,   24.57,  283.12
   10.78,   24.57,  283.16
   10.74,   24.56,  283.20
   10.53,   24.56,  283.24
   10.32,   24.56,  283.28
   10.14,   24.55,  283.31
    9.97,   24.55,  283.35
    9.82,   24.54,  283.39
    9.67,   24.54,  283.43
    9.52,   24.54,  283.47
    9.38,   24.53,  283.51
    9.23,   24.53,  283.54
    9.09,   24.52,  283.58
    8.94,   24.52,  283.62
    8.80,   24.51,  283.66
    8.66,   24.51,  283.70
    8.52,   24.51,  283.73
    8.38,   24.50,  283.77
    8.24,   24.50,  283.81
    8.11,   24.49,  283.85
    7.98,   24.49,  283.89
    7.84,   24.48,  283.93
    7.71,   24.48,  283.96
    7.58,   24.48,  284.00
    7.46,   24.47,  284.04
    7.33,   24.47,  284.08
    7.21,   24.46,  284.12
    7.09,   24.46,  284.15
    6.96,   24.45,  284.19
    6.84,   24.45,  284.23
    6.73,   24.44,  284.27
    6.61,   24.44,  284.31
    6.50,   24.44,  284.34
    6.38,   24.43,  284.38
    6.23,   24.43,  284.42
    6.06,   24.42,  284.46
    5.44,   24.42,  284.50
  -99.00,   24.41,  284.53
  -99.00,   24.41,  284.57
  -99.00,   24.40,  284.61
  -99.00,   24.40,  284.65
  -99.00,   24.39,  284.69
  -99.00,   24.39,  284.73
  -99.00,   24.39,  284.76
  -99.00,   24.38,  284.80
  -99.00,   24.38,  284.84
  -99.00,   24.37,  284.88
  -99.00,   24.37,  284.92
  -99.00,   24.36,  284.95
  -99.00,   24.36,  284.99
  -99.00,   24.35,  285.03
  -99.00,   24.35,  285.07
  -99.00,   24.34,  285.11
  -99.00,   24.34,  285.14
  -99.00,   24.33,  285.18
  -99.00,   24.33,  285.22
  -99.00,   24.32,  285.26
  -99.00,   24.32,  285.30
  -99.00,   24.31,  285.33
  -99.00,   24.31,  285.37
  -99.00,   24.30,  285.41
  -99.00,   24.30,  285.45
  -99.00,   24.29,  285.49
  -99.00,   24.29,  285.52
  -99.00,   24.28,  285.56
  -99.00,   24.28,  285.60
  -99.00,   24.27,  285.64
  -99.00,   24.27,  285.67
  -99.00,   24.26,  285.71
  -99.00,   24.26,  285.75
  -99.00,   24.25,  285.79
  -99.00,   24.25,  285.83
  -99.00,   24.24,  285.86
  -99.00,   24.24,  285.90
  -99.00,   24.23,  285.94
  -99.00,   24.23,  285.98
  -99.00,   24.22,  286.02
  -99.00,   24.22,  286.05
  -99.00,   24.21,  286.09
  -99.00,   24.21,  286.13
  -99.00,   24.20,  286.17
  -99.00,   24.20,  286.21
  -99.00,   24.19,  286.24
  -99.00,   24.18,  286.28
  -99.00,   24.18,  286.32
  -99.00,   24.17,  286.36
  -99.00,   24.17,  286.39
  -99.00,   24.16,  286.43
  -99.00,   24.16,  286.47
  -99.00,   25.02,  270.77
  -99.00,   25.02,  270.80
  -99.00,   25.02,  270.84
  -99.00,   25.02,  270.88
  -99.00,   25.03,  270.92
  -99.00,   25.03,  270.96
  -99.00,   25.03,  271.00
  -99.00,   25.03,  271.04
  -99.00,   25.03,  271.07
  -99.00,   25.03,  271.11
  -99.00,   25.03,  271.15
  -99.00,   25.03,  271.19
  -99.00,   25.04,  271.23
  -99.00,   25.04,  271.27
  -99.00,   25.04,  271.31
  -99.00,   25.04,  271.35
  -99.00,   25.04,  271.38
  -99.00,   25.04,  271.42
  -99.00,   25.04,  271.46
  -99.00,   25.04,  271.50
  -99.00,   25.05,  271.54
  -99.00,   25.05,  271.58
  -99.00,   25.05,  271.62
  -99.00,   25.05,  271.66
  -99.00,   25.05,  271.69
  -99.00,   25.05,  271.73
  -99.00,   25.05,  271.77
  -99.00,   25.05,  271.81
  -99.00,   25.05,  271.85
  -99.00,   25.05,  271.89
  -99.00,   25.06,  271.93
  -99.00,   25.06,  271.97
  -99.00,   25.06,  272.00
  -99.00,   25.06,  272.04
  -99.00,   25.06,  272.08
  -99.00,   25.06,  272.12
  -99.00,   25.06,  272.16
  -99.00,   25.06,  272.20
  -99.00,   25.06,  272.24
  -99.00,   25.06,  272.28
  -99.00,   25.06,  272.31
  -99.00,   25.06,  272.35
  -99.00,   25.06,  272.39
  -99.00,   25.07,  272.43
  -99.00,   25.07,  272.47
  -99.00,   25.07,  272.51
  -99.00,   25.07,  272.55
  -99.00,   25.07,  272.59
  -99.00,   25.07,  272.62
  -99.00,   25.07,  272.66
  -99.00,   25.07,  272.70
    9.12,   25.07,  272.74
    9.23,   25.07,  272.78
    9.29,   25.07,  272.82
    9.36,   25.07,  272.86
    9.51,   25.07,  272.90
    9.61,   25.07,  272.93
    9.68,   25.07,  272.97
    9.76,   25.07,  273.01
    9.83,   25.07,  273.05
    9.91,   25.07,  273.09
    9.98,   25.08,  273.13
   10.06,   25.08,  273.17
   10.14,   25.08,  273.21
   10.21,   25.08,  273.24
   10.29,   25.08,  273.28
   10.37,   25.08,  273.32
   10.45,   25.08,  273.36
   10.52,   25.08,  273.40
   10.60,   25.08,  273.44
   10.69,   25.08,  273.48
   10.77,   25.08,  273.52
   10.84,   25.08,  273.55
   10.92,   25.08,  273.59
   11.01,   25.08,  273.63
   11.10,   25.08,  273.67
   11.19,   25.08,  273.71
   11.27,   25.08,  273.75
   11.36,   25.08,  273.79
   11.45,   25.08,  273.83
   11.54,   25.08,  273.86
   11.63,   25.08,  273.90
   11.72,   25.08,  273.94
   11.81,   25.08,  273.98
   11.89,   25.08,  274.02
   11.98,   25.08,  274.06
   12.07,   25.08,  274.10
   12.16,   25.08,  274.14
   12.25,   25.08,  274.17
   12.34,   25.08,  274.21
   12.43,   25.08,  274.25
   12.51,   25.08,  274.29
   12.60,   25.08,  274.33
   12.69,   25.08,  274.37
   12.78,   25.08,  274.41
   12.87,   25.08,  274.45
   12.95,   25.08,  274.48
   13.04,   25.08,  274.52
   13.13,   25.08,  274.56
   13.21,   25.08,  274.60
   13.30,   25.08,  274.64
   13.39,   25.08,  274.68
   13.47,   25.08,  274.72
   13.56,   25.08,  274.76
   13.64,   25.08,  274.79
   13.73,   25.08,  274.83
   13.81,   25.08,  274.87
   13.90,   25.07,  274.91
   13.99,   25.07,  274.95
   14.08,   25.07,  274.99
   14.17,   25.07,  275.03
   14.25,   25.07,  275.07
   14.34,   25.07,  275.10
   14.43,   25.07,  275.14
   14.51,   25.07,  275.18
   14.60,   25.07,  275.22
   14.68,   25.07,  275.26
   14.77,   25.07,  275.30
   14.85,   25.07,  275.34
   14.93,   25.07,  275.38
   15.01,   25.07,  275.41
   15.10,   25.07,  275.45
   15.18,   25.07,  275.49
   15.26,   25.07,  275.53
   15.34,   25.07,  275.57
   15.42,   25.06,  275.61
   15.50,   25.06,  275.65
   15.58,   25.06,  275.69
   15.66,   25.06,  275.72
   15.74,   25.06,  275.76
   15.82,   25.06,  275.80
   15.89,   25.06,  275.84
   15.97,   25.06,  275.88
   16.05,   25.06,  275.92
   16.12,   25.06,  275.96
   16.20,   25.06,  276.00
   16.27,   25.06,  276.03
   16.34,   25.06,  276.07
   16.41,   25.05,  276.11
   16.48,   25.05,  276.15
   16.55,   25.05,  276.19
   16.62,   25.05,  276.23
   16.69,   25.05,  276.27
   16.75,   25.05,  276.31
   16.82,   25.05,  276.34
   16.88,   25.05,  276.38
   16.95,   25.05,  276.42
   17.01,   25.05,  276.46
   17.07,   25.04,  276.50
   17.13,   25.04,  276.54
   17.19,   25.04,  276.58
   17.25,   25.04,  276.62
   17.31,   25.04,  276.65
   17.37,   25.04,  276.69
   17.43,   25.04,  276.73
   17.48,   25.04,  276.77
   17.54,   25.03,  276.81
   17.59,   25.03,  276.85
   17.64,   25.03,  276.89
   17.69,   25.03,  276.93
   17.74,   25.03,  276.96
   17.79,   25.03,  277.00
   17.83,   25.03,  277.04
   17.88,   25.03,  277.08
   17.92,   25.02,  277.12
   17.96,   25.02,  277.16
   18.00,   25.02,  277.20
   18.04,   25.02,  277.23
   18.07,   25.02,  277.27
   18.10,   25.02,  277.31
   18.14,   25.02,  277.35
   18.17,   25.01,  277.39
   18.19,   25.01,  277.43
   18.22,   25.01,  277.47
   18.24,   25.01,  277.51
   18.27,   25.01,  277.54
   18.29,   25.01,  277.58
   18.30,   25.01,  277.62
   18.32,   25.00,  277.66
   18.33,   25.00,  277.70
   18.34,   25.00,  277.74
   18.35,   25.00,  277.78
   18.36,   25.00,  277.82
   18.37,   25.00,  277.85
   18.37,   24.99,  277.89
   18.37,   24.99,  277.93
   18.37,   24.99,  277.97
   18.37,   24.99,  278.01
   18.37,   24.99,  278.05
   18.36,   24.99,  278.09
   18.35,   24.98,  278.12
   18.33,   24.98,  278.16
   18.32,   24.98,  278.20
   18.29,   24.98,  278.24
   18.26,   24.98,  278.28
   18.23,   24.97,  278.32
   18.21,   24.97,  278.36
   18.20,   24.97,  278.40
   18.20,   24.97,  278.43
   18.19,   24.97,  278.47
   18.18,   24.96,  278.51
   18.15,   24.96,  278.55
   18.10,   24.96,  278.59
   18.01,   24.96,  278.63
   17.92,   24.96,  278.67
   17.89,   24.95,  278.70
   17.89,   24.95,  278.74
   17.88,   24.95,  278.78
   17.85,   24.95,  278.82
   17.82,   24.95,  278.86
   17.78,   24.94,  278.90
   17.74,   24.94,  278.94
   17.70,   24.94,  278.97
   17.64,   24.94,  279.01
   17.58,   24.94,  279.05
   17.51,   24.93,  279.09
   17.44,   24.93,  279.13
   17.39,   24.93,  279.17
   17.36,   24.93,  279.21
   17.42,   24.92,  279.24
   17.78,   24.92,  279.28
   17.93,   24.92,  279.32
   17.86,   24.92,  279.36
   17.55,   24.91,  279.40
   17.25,   24.91,  279.44
   16.78,   24.91,  279.48
   16.72,   24.91,  279.51
   16.64,   24.90,  279.55
   16.56,   24.90,  279.59
   16.49,   24.90,  279.63
   16.41,   24.90,  279.67
   16.33,   24.89,  279.71
   16.43,   24.89,  279.75
   16.56,   24.89,  279.78
   16.68,   24.89,  279.82
   16.81,   24.88,  279.86
   16.93,   24.88,  279.90
   17.04,   24.88,  279.94
   17.15,   24.88,  279.98
   17.26,   24.87,  280.02
   17.36,   24.87,  280.05
   17.46,   24.87,  280.09
   17.55,   24.87,  280.13
   17.64,   24.86,  280.17
   17.73,   24.86,  280.21
   17.81,   24.86,  280.25
   17.88,   24.86,  280.29
   17.95,   24.85,  280.32
   18.01,   24.85,  280.36
   18.07,   24.85,  280.40
   18.12,   24.84,  280.44
   18.17,   24.84,  280.48
   18.21,   24.84,  280.52
   18.24,   24.84,  280.56
   18.27,   24.83,  280.59
   18.29,   24.83,  280.63
   18.30,   24.83,  280.67
   18.31,   24.82,  280.71
   18.31,   24.82,  280.75
   18.31,   24.82,  280.79
   18.30,   24.82,  280.82
   18.28,   24.81,  280.86
   18.26,   24.81,  280.90
   18.23,   24.81,  280.94
   18.20,   24.80,  280.98
   18.16,   24.80,  281.02
   18.12,   24.80,  281.06
   18.07,   24.79,  281.09
   18.01,   24.79,  281.13
   17.95,   24.79,  281.17
   17.89,   24.78,  281.21
   17.82,   24.78,  281.25
   17.75,   24.78,  281.29
   17.67,   24.78,  281.32
   17.60,   24.77,  281.36
   17.51,   24.77,  281.40
   17.43,   24.77,  281.44
   17.33,   24.76,  281.48
   17.23,   24.76,  281.52
   17.14,   24.76,  281.56
   17.09,   24.75,  281.59
   17.67,   24.75,  281.63
   17.97,   24.75,  281.67
   17.54,   24.74,  281.71
   16.65,   24.74,  281.75
   14.59,   24.74,  281.79
   14.31,   24.73,  281.82
   10.99,   24.73,  281.86
   10.17,   24.73,  281.90
   11.80,   24.72,  281.94
   12.09,   24.72,  281.98
   11.17,   24.71,  282.02
   10.70,   24.71,  282.05
   13.82,   24.71,  282.09
   14.87,   24.70,  282.13
   15.07,   24.70,  282.17
   13.98,   24.70,  282.21
   14.17,   24.69,  282.25
   14.44,   24.69,  282.28
   14.42,   24.69,  282.32
   14.31,   24.68,  282.36
   14.15,   24.68,  282.40
   13.98,   24.68,  282.44
   13.82,   24.67,  282.48
   13.66,   24.67,  282.51
   13.50,   24.66,  282.55
   13.33,   24.66,  282.59
   13.17,   24.66,  282.63
   13.01,   24.65,  282.67
   12.85,   24.65,  282.71
   12.68,   24.65,  282.74
   12.52,   24.64,  282.78
   12.36,   24.64,  282.82
   12.19,   24.63,  282.86
   12.03,   24.63,  282.90
   11.87,   24.63,  282.94
   11.70,   24.62,  282.97
   11.54,   24.62,  283.01
   11.38,   24.61,  283.05
   11.22,   24.61,  283.09
   11.08,   24.61,  283.13
   11.02,   24.60,  283.17
   10.93,   24.60,  283.20
   10.65,   24.59,  283.24
   10.44,   24.59,  283.28
   10.27,   24.59,  283.32
   10.12,   24.58,  283.36
    9.96,   24.58,  283.40
    9.81,   24.57,  283.43
    9.66,   24.57,  283.47
    9.51,   24.57,  283.51
    9.36,   24.56,  283.55
    9.21,   24.56,  283.59
    9.07,   24.55,  283.62
    8.92,   24.55,  283.66
    8.78,   24.54,  283.70
    8.64,   24.54,  283.74
    8.50,   24.54,  283.78
    8.36,   24.53,  283.82
    8.22,   24.53,  283.85
    8.08,   24.52,  283.89
    7.95,   24.52,  283.93
    7.82,   24.51,  283.97
    7.68,   24.51,  284.01
    7.56,   24.51,  284.04
    7.43,   24.50,  284.08
    7.30,   24.50,  284.12
    7.18,   24.49,  284.16
    7.05,   24.49,  284.20
    6.93,   24.48,  284.24
    6.81,   24.48,  284.27
    6.69,   24.48,  284.31
    6.58,   24.47,  284.35
    6.43,   24.47,  284.39
    6.31,   24.46,  284.43
    6.18,   24.46,  284.46
    5.99,   24.45,  284.50
  -99.00,   24.45,  284.54
  -99.00,   24.44,  284.58
  -99.00,   24.44,  284.62
  -99.00,   24.43,  284.65
  -99.00,   24.43,  284.69
  -99.00,   24.42,  284.73
  -99.00,   24.42,  284.77
  -99.00,   24.42,  284.81
  -99.00,   24.41,  284.84
  -99.00,   24.41,  284.88
  -99.00,   24.40,  284.92
  -99.00,   24.40,  284.96
  -99.00,   24.39,  285.00
  -99.00,   24.39,  285.03
  -99.00,   24.38,  285.07
  -99.00,   24.38,  285.11
  -99.00,   24.37,  285.15
  -99.00,   24.37,  285.19
  -99.00,   24.36,  285.22
  -99.00,   24.36,  285.26
  -99.00,   24.35,  285.30
  -99.00,   24.35,  285.34
  -99.00,   24.34,  285.38
  -99.00,   24.34,  285.41
  -99.00,   24.33,  285.45
  -99.00,   24.33,  285.49
  -99.00,   24.32,  285.53
  -99.00,   24.32,  285.57
  -99.00,   24.31,  285.60
  -99.00,   24.31,  285.64
  -99.00,   24.30,  285.68
  -99.00,   24.30,  285.72
  -99.00,   24.29,  285.76
  -99.00,   24.29,  285.79
  -99.00,   24.28,  285.83
  -99.00,   24.28,  285.87
  -99.00,   24.27,  285.91
  -99.00,   24.27,  285.95
  -99.00,   24.26,  285.98
  -99.00,   24.26,  286.02
  -99.00,   24.25,  286.06
  -99.00,   24.25,  286.10
  -99.00,   24.24,  286.14
  -99.00,   24.24,  286.17
  -99.00,   24.23,  286.21
  -99.00,   24.22,  286.25
  -99.00,   24.22,  286.29
  -99.00,   24.21,  286.32
  -99.00,   24.21,  286.36
  -99.00,   24.20,  286.40
  -99.00,   24.20,  286.44
  -99.00,   24.19,  286.48
  -99.00,   25.06,  270.76
  -99.00,   25.06,  270.80
  -99.00,   25.06,  270.84
  -99.00,   25.06,  270.88
  -99.00,   25.06,  270.92
  -99.00,   25.06,  270.96
  -99.00,   25.06,  271.00
  -99.00,   25.06,  271.03
  -99.00,   25.07,  271.07
  -99.00,   25.07,  271.11
  -99.00,   25.07,  271.15
  -99.00,   25.07,  271.19
  -99.00,   25.07,  271.23
  -99.00,   25.07,  271.27
  -99.00,   25.07,  271.31
  -99.00,   25.07,  271.34
  -99.00,   25.08,  271.38
  -99.00,   25.08,  271.42
  -99.00,   25.08,  271.46
  -99.00,   25.08,  271.50
  -99.00,   25.08,  271.54
  -99.00,   25.08,  271.58
  -99.00,   25.08,  271.62
  -99.00,   25.08,  271.65
  -99.00,   25.08,  271.69
  -99.00,   25.09,  271.73
  -99.00,   25.09,  271.77
  -99.00,   25.09,  271.81
  -99.00,   25.09,  271.85
  -99.00,   25.09,  271.89
  -99.00,   25.09,  271.93
  -99.00,   25.09,  271.96
  -99.00,   25.09,  272.00
  -99.00,   25.09,  272.04
  -99.00,   25.09,  272.08
  -99.00,   25.09,  272.12
  -99.00,   25.10,  272.16
  -99.00,   25.10,  272.20
  -99.00,   25.10,  272.24
  -99.00,   25.10,  272.27
  -99.00,   25.10,  272.31
  -99.00,   25.10,  272.35
  -99.00,   25.10,  272.39
  -99.00,   25.10,  272.43
  -99.00,   25.10,  272.47
  -99.00,   25.10,  272.51
  -99.00,   25.10,  272.55
  -99.00,   25.10,  272.58
  -99.00,   25.10,  272.62
  -99.00,   25.10,  272.66
  -99.00,   25.11,  272.70
    9.20,   25.11,  272.74
    9.30,   25.11,  272.78
    9.37,   25.11,  272.82
