wind(m/s),    lat,     lon
    2.53,   23.49,  277.13
    2.59,   23.48,  277.17
    2.64,   23.48,  277.21
    2.70,   23.48,  277.24
    2.75,   23.48,  277.28
    2.81,   23.48,  277.32
    2.86,   23.48,  277.36
    2.92,   23.48,  277.39
    2.98,   23.47,  277.43
    3.03,   23.47,  277.47
    3.09,   23.47,  277.51
    3.15,   23.47,  277.55
    3.21,   23.47,  277.58
    3.27,   23.47,  277.62
    3.33,   23.46,  277.66
    3.39,   23.46,  277.70
    3.45,   23.46,  277.74
    3.51,   23.46,  277.77
    3.58,   23.46,  277.81
    3.64,   23.46,  277.85
    3.70,   23.46,  277.89
    3.76,   23.45,  277.92
    3.83,   23.45,  277.96
    3.89,   23.45,  278.00
    3.96,   23.45,  278.04
    4.02,   23.45,  278.08
    4.09,   23.44,  278.11
    4.15,   23.44,  278.15
    4.21,   23.44,  278.19
    4.28,   23.44,  278.23
    4.35,   23.44,  278.27
    4.41,   23.44,  278.30
    4.48,   23.43,  278.34
    4.54,   23.43,  278.38
    4.61,   23.43,  278.42
    4.67,   23.43,  278.45
    4.74,   23.43,  278.49
    4.80,   23.42,  278.53
    4.87,   23.42,  278.57
    4.93,   23.42,  278.61
    4.99,   23.42,  278.64
    5.06,   23.42,  278.68
    5.12,   23.41,  278.72
    5.18,   23.41,  278.76
    5.24,   23.41,  278.80
    5.30,   23.41,  278.83
    5.37,   23.41,  278.87
    5.43,   23.40,  278.91
    5.48,   23.40,  278.95
    5.54,   23.40,  278.98
    5.60,   23.40,  279.02
    5.66,   23.39,  279.06
    5.72,   23.39,  279.10
    5.77,   23.39,  279.14
    5.83,   23.39,  279.17
    5.88,   23.39,  279.21
    5.94,   23.38,  279.25
    5.99,   23.38,  279.29
    6.04,   23.38,  279.32
    6.09,   23.38,  279.36
    6.14,   23.37,  279.40
    6.19,   23.37,  279.44
    6.24,   23.37,  279.48
    6.29,   23.37,  279.51
    6.33,   23.36,  279.55
    6.38,   23.36,  279.59
    6.42,   23.36,  279.63
    6.46,   23.36,  279.66
    6.50,   23.36,  279.70
    6.54,   23.35,  279.74
    6.58,   23.35,  279.78
    6.62,   23.35,  279.82
    6.66,   23.35,  279.85
    6.69,   23.34,  279.89
    6.72,   23.34,  279.93
    6.76,   23.34,  279.97
    6.79,   23.33,  280.00
    6.82,   23.33,  280.04
    6.84,   23.33,  280.08
    6.87,   23.33,  280.12
    6.89,   23.32,  280.16
    6.92,   23.32,  280.19
    6.94,   23.32,  280.23
    6.96,   23.32,  280.27
    6.98,   23.31,  280.31
    6.99,   23.31,  280.34
    7.01,   23.31,  280.38
    7.02,   23.31,  280.42
    7.03,   23.30,  280.46
    7.04,   23.30,  280.49
    7.05,   23.30,  280.53
    7.06,   23.29,  280.57
    7.06,   23.29,  280.61
    7.07,   23.29,  280.65
    7.07,   23.29,  280.68
    7.07,   23.28,  280.72
    7.07,   23.28,  280.76
    7.07,   23.28,  280.80
    7.06,   23.27,  280.83
    7.06,   23.27,  280.87
    7.05,   23.27,  280.91
    7.04,   23.26,  280.95
    7.03,   23.26,  280.98
    7.02,   23.26,  281.02
    7.00,   23.26,  281.06
    6.99,   23.25,  281.10
    6.97,   23.25,  281.14
    6.96,   23.25,  281.17
    6.94,   23.24,  281.21
    6.91,   23.24,  281.25
